epcpwm,epcpressuresetpoint,load,Line,EPC_Press,ISS_Speed,Slippage,tcc,rpm,CurrentGear,CurrentSpeed
0,101,1.90,124,57,0.00,0.00,0,1395,3,25.10
9,101,1.90,168,108,0.00,0.00,0,1385,3,24.01
87,101,1.90,205,113,0.00,0.00,0,1383,3,24.25
0,101,1.90,156,89,0.00,0.00,0,1377,3,23.96
40,101,1.90,189,116,0.00,0.00,0,1355,3,23.97
104,101,1.90,160,122,0.00,0.00,0,1366,3,23.18
13,101,1.90,169,111,0.00,0.00,0,1358,3,22.87
79,101,1.90,187,121,0.00,0.00,0,1328,3,22.04
0,101,1.90,153,69,0.00,0.00,0,1314,3,22.16
5,101,1.90,167,114,0.00,0.00,0,1295,3,20.85
55,101,1.90,188,117,0.00,0.00,0,1276,3,20.88
52,101,1.90,143,97,0.00,0.00,0,1266,3,19.95
60,101,1.90,137,95,0.00,0.00,0,1230,3,16.50
44,101,1.90,123,82,0.00,0.00,0,1208,3,18.99
65,101,1.90,179,112,0.00,0.00,0,1191,3,18.20
62,101,1.90,157,106,0.00,0.00,0,1178,3,11.77
62,101,1.90,159,107,0.00,0.00,0,1173,3,14.41
71,101,1.90,189,113,0.00,0.00,0,1160,3,10.68
38,101,1.90,154,89,0.00,0.00,0,1152,3,4.88
65,101,1.90,165,112,0.00,0.00,0,1101,3,1.41
31,101,1.90,147,93,0.00,0.00,0,1044,2,1.41
66,101,1.90,187,113,0.00,0.00,0,971,1,1.41
29,101,1.90,147,91,0.00,0.00,0,956,1,0.00
66,101,1.90,163,112,0.00,0.00,0,930,1,0.00
29,101,1.90,148,90,0.00,0.00,0,929,1,0.00
72,101,1.90,185,115,0.00,0.00,0,932,1,0.00
24,101,1.90,146,87,0.00,0.00,0,932,1,0.00
70,101,1.90,186,113,0.00,0.00,0,867,1,0.00
24,101,1.90,138,87,0.00,0.00,0,751,1,0.00
72,101,1.90,164,115,0.00,0.00,0,682,1,0.00
23,101,1.90,128,87,0.00,0.00,0,672,1,0.00
72,101,1.90,174,115,0.00,0.00,0,689,1,0.00
23,101,1.90,125,87,0.00,0.00,0,712,1,0.00
73,101,1.90,164,116,0.00,0.00,0,680,1,0.00
20,101,1.90,126,85,0.00,0.00,0,699,1,0.00
