RPM,Bar,MAP,Temp,TPS,Voltage,MPH,EPCPSI,controlslocked,EPCPWM,Gear,TCC,Fuel,Oil
1547,100.0,50.6,188.8,12.8,12.9,23,52,0,71,3,0,8,70
1547,100.0,50.6,188.8,12.8,12.9,23,52,0,71,3,0,8,70
1547,100.0,50.6,188.8,12.8,12.9,23,52,0,71,3,0,8,70
1516,100.0,46.9,188.5,11.6,12.9,23,52,0,71,3,0,8,70
1516,100.0,46.9,188.5,11.6,12.9,23,60,0,79,3,0,8,72
1516,100.0,46.9,188.5,11.6,12.9,23,60,0,79,3,0,8,72
1516,100.0,46.9,188.5,11.6,12.9,23,60,0,79,3,0,8,72
1470,100.0,46.3,188.3,11.6,12.9,23,60,0,79,3,0,8,72
1470,100.0,46.3,188.3,11.6,12.9,23,62,0,73,3,0,8,70
1470,100.0,46.3,188.3,11.6,12.9,23,62,0,73,3,0,8,70
1470,100.0,46.3,188.3,11.6,12.9,23,62,0,73,3,0,8,70
1447,100.0,45.8,188.8,11.4,12.9,23,62,0,73,3,0,8,70
1447,100.0,45.8,188.8,11.4,12.9,23,51,0,69,3,0,8,69
1447,100.0,45.8,188.8,11.4,12.9,23,51,0,69,3,0,8,69
1447,100.0,45.8,188.8,11.4,12.9,23,51,0,69,3,0,8,69
1435,100.0,46.1,188.5,11.6,12.9,23,51,0,69,3,0,8,69
1435,100.0,46.1,188.5,11.6,12.9,23,67,0,79,3,0,8,68
1435,100.0,46.1,188.5,11.6,12.9,23,67,0,79,3,0,8,68
1435,100.0,46.1,188.5,11.6,12.9,23,67,0,79,3,0,8,68
1435,100.0,45.7,189.0,11.5,12.9,23,67,0,79,3,0,8,68
1435,100.0,45.7,189.0,11.5,12.9,23,78,0,80,3,0,8,69
1435,100.0,45.7,189.0,11.5,12.9,23,78,0,80,3,0,8,69
1435,100.0,45.7,189.0,11.5,12.9,23,78,0,80,3,0,8,69
1427,100.0,46.9,188.9,11.5,12.8,23,78,0,80,3,0,8,69
1427,100.0,46.9,188.9,11.5,12.8,23,78,0,80,3,0,8,69
1427,100.0,46.9,188.9,11.5,12.8,22,56,0,73,3,0,8,64
1427,100.0,46.9,188.9,11.5,12.8,22,56,0,73,3,0,8,64
1424,100.0,46.6,189.3,11.6,12.9,22,56,0,73,3,0,8,64
1424,100.0,46.6,189.3,11.6,12.9,22,56,0,73,3,0,8,64
1424,100.0,46.6,189.3,11.6,12.9,22,50,0,67,3,0,8,61
1424,100.0,46.6,189.3,11.6,12.9,22,50,0,67,3,0,8,61
1417,100.0,46.2,189.2,11.5,12.9,22,50,0,67,3,0,8,61
1417,100.0,46.2,189.2,11.5,12.9,22,50,0,67,3,0,8,61
1417,100.0,46.2,189.2,11.5,12.9,22,55,0,71,3,0,7,69
1417,100.0,46.2,189.2,11.5,12.9,22,55,0,71,3,0,7,69
1413,100.0,46.2,188.6,11.5,12.8,22,55,0,71,3,0,7,69
1413,100.0,46.2,188.6,11.5,12.8,22,55,0,71,3,0,7,69
1413,100.0,46.2,188.6,11.5,12.8,22,65,0,74,3,0,7,68
1413,100.0,46.2,188.6,11.5,12.8,22,65,0,74,3,0,7,68
1413,100.0,47.0,188.6,11.6,12.9,22,65,0,74,3,0,7,68
1413,100.0,47.0,188.6,11.6,12.9,22,65,0,74,3,0,7,68
1413,100.0,47.0,188.6,11.6,12.9,22,57,0,74,3,0,8,69
1413,100.0,47.0,188.6,11.6,12.9,22,57,0,74,3,0,8,69
